Day,#,Sum,Average Per Day,Number of Drinkless Days,Total Days Counted
"Wednesday, January 1 ",0,502,1.375342466,221,365
"Thursday, January 2 ",0,,,,
"Friday, January 3 ",0,,,,
"Saturday, January 4 ",3,,,,
"Sunday, January 5 ",0,,,,
"Monday, January 6 ",0,,,,
"Tuesday, January 7 ",0,,,,
"Wednesday, January 8 ",0,,,,
"Thursday, January 9 ",0,,,,
"Friday, January 10 ",0,,,,
"Saturday, January 11 ",0,,,,
"Sunday, January 12 ",0,,,,
"Monday, January 13 ",0,,,,
"Tuesday, January 14 ",0,,,,
"Wednesday, January 15 ",0,,,,
"Thursday, January 16 ",0,,,,
"Friday, January 17 ",4,,,,
"Saturday, January 18 ",5,,,,
"Sunday, January 19 ",0,,,,
"Monday, January 20 ",0,,,,
"Tuesday, January 21 ",0,,,,
"Wednesday, January 22 ",0,,,,
"Thursday, January 23 ",5,,,,
"Friday, January 24 ",4,,,,
"Saturday, January 25 ",3,,,,
"Sunday, January 26 ",4,,,,
"Monday, January 27 ",0,,,,
"Tuesday, January 28 ",0,,,,
"Wednesday, January 29 ",0,,,,
"Thursday, January 30 ",0,,,,
"Friday, January 31 ",4,,,,
"Saturday, February 1 ",0,,,,
"Sunday, February 2 ",3,,,,
"Monday, February 3 ",0,,,,
"Tuesday, February 4 ",1,,,,
"Wednesday, February 5 ",2,,,,
"Thursday, February 6 ",2,,,,
"Friday, February 7 ",3,,,,
"Saturday, February 8 ",4,,,,
"Sunday, February 9 ",4,,,,
"Monday, February 10 ",0,,,,
"Tuesday, February 11 ",0,,,,
"Wednesday, February 12 ",0,,,,
"Thursday, February 13 ",1,,,,
"Friday, February 14 ",0,,,,
"Saturday, February 15 ",1,,,,
"Sunday, February 16 ",0,,,,
"Monday, February 17 ",0,,,,
"Tuesday, February 18 ",0,,,,
"Wednesday, February 19 ",0,,,,
"Thursday, February 20 ",0,,,,
"Friday, February 21 ",0,,,,
"Saturday, February 22 ",0,,,,
"Sunday, February 23 ",3,,,,
"Monday, February 24 ",0,,,,
"Tuesday, February 25 ",0,,,,
"Wednesday, February 26 ",0,,,,
"Thursday, February 27 ",2,,,,
"Friday, February 28 ",3,,,,
"Saturday, March 1 ",4,,,,
"Sunday, March 2 ",2,,,,
"Monday, March 3 ",2,,,,
"Tuesday, March 4 ",0,,,,
"Wednesday, March 5 ",2,,,,
"Thursday, March 6 ",0,,,,
"Friday, March 7 ",1,,,,
"Saturday, March 8 ",2,,,,
"Sunday, March 9 ",3,,,,
"Monday, March 10 ",4,,,,
"Tuesday, March 11 ",3,,,,
"Wednesday, March 12 ",0,,,,
"Thursday, March 13 ",0,,,,
"Friday, March 14 ",0,,,,
"Saturday, March 15 ",0,,,,
"Sunday, March 16 ",0,,,,
"Monday, March 17 ",0,,,,
"Tuesday, March 18 ",0,,,,
"Wednesday, March 19 ",0,,,,
"Thursday, March 20 ",0,,,,
"Friday, March 21 ",0,,,,
"Saturday, March 22 ",2,,,,
"Sunday, March 23 ",0,,,,
"Monday, March 24 ",0,,,,
"Tuesday, March 25 ",0,,,,
"Wednesday, March 26 ",0,,,,
"Thursday, March 27 ",0,,,,
"Friday, March 28 ",3,,,,
"Saturday, March 29 ",4,,,,
"Sunday, March 30 ",0,,,,
"Monday, March 31 ",0,,,,
"Tuesday, April 1 ",0,,,,
"Wednesday, April 2 ",0,,,,
"Thursday, April 3 ",2,,,,
"Friday, April 4 ",0,,,,
"Saturday, April 5 ",0,,,,
"Sunday, April 6 ",1,,,,
"Monday, April 7 ",0,,,,
"Tuesday, April 8 ",0,,,,
"Wednesday, April 9 ",0,,,,
"Thursday, April 10 ",0,,,,
"Friday, April 11 ",2,,,,
"Saturday, April 12 ",0,,,,
"Sunday, April 13 ",2,,,,
"Monday, April 14 ",0,,,,
"Tuesday, April 15 ",0,,,,
"Wednesday, April 16 ",0,,,,
"Thursday, April 17 ",0,,,,
"Friday, April 18 ",4,,,,
"Saturday, April 19 ",4,,,,
"Sunday, April 20 ",1,,,,
"Monday, April 21 ",0,,,,
"Tuesday, April 22 ",0,,,,
"Wednesday, April 23 ",0,,,,
"Thursday, April 24 ",0,,,,
"Friday, April 25 ",0,,,,
"Saturday, April 26 ",0,,,,
"Sunday, April 27 ",0,,,,
"Monday, April 28 ",0,,,,
"Tuesday, April 29 ",0,,,,
"Wednesday, April 30 ",0,,,,
"Thursday, May 1 ",0,,,,
"Friday, May 2 ",0,,,,
"Saturday, May 3 ",2,,,,
"Sunday, May 4 ",0,,,,
"Monday, May 5 ",0,,,,
"Tuesday, May 6 ",0,,,,
"Wednesday, May 7 ",3,,,,
"Thursday, May 8 ",0,,,,
"Friday, May 9 ",0,,,,
"Saturday, May 10 ",0,,,,
"Sunday, May 11 ",1,,,,
"Monday, May 12 ",0,,,,
"Tuesday, May 13 ",0,,,,
"Wednesday, May 14 ",0,,,,
"Thursday, May 15 ",0,,,,
"Friday, May 16 ",0,,,,
"Saturday, May 17 ",0,,,,
"Sunday, May 18 ",0,,,,
"Monday, May 19 ",0,,,,
"Tuesday, May 20 ",0,,,,
"Wednesday, May 21 ",0,,,,
"Thursday, May 22 ",0,,,,
"Friday, May 23 ",2,,,,
"Saturday, May 24 ",2,,,,
"Sunday, May 25 ",3,,,,
"Monday, May 26 ",2,,,,
"Tuesday, May 27 ",0,,,,
"Wednesday, May 28 ",4,,,,
"Thursday, May 29 ",4,,,,
"Friday, May 30 ",3,,,,
"Saturday, May 31 ",3,,,,
"Sunday, June 1 ",6,,,,
"Monday, June 2 ",0,,,,
"Tuesday, June 3 ",0,,,,
"Wednesday, June 4 ",0,,,,
"Thursday, June 5 ",3,,,,
"Friday, June 6 ",0,,,,
"Saturday, June 7 ",0,,,,
"Sunday, June 8 ",4,,,,
"Monday, June 9 ",0,,,,
"Tuesday, June 10 ",0,,,,
"Wednesday, June 11 ",0,,,,
"Thursday, June 12 ",0,,,,
"Friday, June 13 ",0,,,,
"Saturday, June 14 ",0,,,,
"Sunday, June 15 ",3,,,,
"Monday, June 16 ",0,,,,
"Tuesday, June 17 ",0,,,,
"Wednesday, June 18 ",0,,,,
"Thursday, June 19 ",0,,,,
"Friday, June 20 ",0,,,,
"Saturday, June 21 ",4,,,,
"Sunday, June 22 ",3,,,,
"Monday, June 23 ",0,,,,
"Tuesday, June 24 ",0,,,,
"Wednesday, June 25 ",0,,,,
"Thursday, June 26 ",0,,,,
"Friday, June 27 ",0,,,,
"Saturday, June 28 ",5,,,,
"Sunday, June 29 ",0,,,,
"Monday, June 30 ",0,,,,
"Tuesday, July 1 ",0,,,,
"Wednesday, July 2 ",4,,,,
"Thursday, July 3 ",2,,,,
"Friday, July 4 ",4,,,,
"Saturday, July 5 ",4,,,,
"Sunday, July 6 ",3,,,,
"Monday, July 7 ",0,,,,
"Tuesday, July 8 ",0,,,,
"Wednesday, July 9 ",0,,,,
"Thursday, July 10 ",0,,,,
"Friday, July 11 ",2,,,,
"Saturday, July 12 ",5,,,,
"Sunday, July 13 ",0,,,,
"Monday, July 14 ",0,,,,
"Tuesday, July 15 ",0,,,,
"Wednesday, July 16 ",0,,,,
"Thursday, July 17 ",0,,,,
"Friday, July 18 ",10,,,,
"Saturday, July 19 ",18,,,,
"Sunday, July 20 ",0,,,,
"Monday, July 21 ",0,,,,
"Tuesday, July 22 ",0,,,,
"Wednesday, July 23 ",0,,,,
"Thursday, July 24 ",0,,,,
"Friday, July 25 ",5,,,,
"Saturday, July 26 ",7,,,,
"Sunday, July 27 ",7,,,,
"Monday, July 28 ",8,,,,
"Tuesday, July 29 ",0,,,,
"Wednesday, July 30 ",0,,,,
"Thursday, July 31 ",0,,,,
"Friday, August 1 ",0,,,,
"Saturday, August 2 ",6,,,,
"Sunday, August 3 ",3,,,,
"Monday, August 4 ",0,,,,
"Tuesday, August 5 ",1,,,,
"Wednesday, August 6 ",0,,,,
"Thursday, August 7 ",0,,,,
"Friday, August 8 ",4,,,,
"Saturday, August 9 ",3,,,,
"Sunday, August 10 ",5,,,,
"Monday, August 11 ",0,,,,
"Tuesday, August 12 ",2,,,,
"Wednesday, August 13 ",2,,,,
"Thursday, August 14 ",4,,,,
"Friday, August 15 ",5,,,,
"Saturday, August 16 ",8,,,,
"Sunday, August 17 ",3,,,,
"Monday, August 18 ",3,,,,
"Tuesday, August 19 ",0,,,,
"Wednesday, August 20 ",0,,,,
"Thursday, August 21 ",0,,,,
"Friday, August 22 ",0,,,,
"Saturday, August 23 ",0,,,,
"Sunday, August 24 ",1,,,,
"Monday, August 25 ",0,,,,
"Tuesday, August 26 ",0,,,,
"Wednesday, August 27 ",0,,,,
"Thursday, August 28 ",1,,,,
"Friday, August 29 ",5,,,,
"Saturday, August 30 ",3,,,,
"Sunday, August 31 ",4,,,,
"Monday, September 1 ",4,,,,
"Tuesday, September 2 ",0,,,,
"Wednesday, September 3 ",0,,,,
"Thursday, September 4 ",0,,,,
"Friday, September 5 ",0,,,,
"Saturday, September 6 ",2,,,,
"Sunday, September 7 ",0,,,,
"Monday, September 8 ",0,,,,
"Tuesday, September 9 ",0,,,,
"Wednesday, September 10 ",0,,,,
"Thursday, September 11 ",2,,,,
"Friday, September 12 ",0,,,,
"Saturday, September 13 ",0,,,,
"Sunday, September 14 ",0,,,,
"Monday, September 15 ",0,,,,
"Tuesday, September 16 ",0,,,,
"Wednesday, September 17 ",0,,,,
"Thursday, September 18 ",2,,,,
"Friday, September 19 ",2,,,,
"Saturday, September 20 ",4,,,,
"Sunday, September 21 ",0,,,,
"Monday, September 22 ",0,,,,
"Tuesday, September 23 ",0,,,,
"Wednesday, September 24 ",0,,,,
"Thursday, September 25 ",4,,,,
"Friday, September 26 ",1,,,,
"Saturday, September 27 ",5,,,,
"Sunday, September 28 ",0,,,,
"Monday, September 29 ",2,,,,
"Tuesday, September 30 ",5,,,,
"Wednesday, October 1 ",7,,,,
"Thursday, October 2 ",3,,,,
"Friday, October 3 ",3,,,,
"Saturday, October 4 ",5,,,,
"Sunday, October 5 ",0,,,,
"Monday, October 6 ",0,,,,
"Tuesday, October 7 ",0,,,,
"Wednesday, October 8 ",0,,,,
"Thursday, October 9 ",0,,,,
"Friday, October 10 ",2,,,,
"Saturday, October 11 ",1,,,,
"Sunday, October 12 ",0,,,,
"Monday, October 13 ",0,,,,
"Tuesday, October 14 ",0,,,,
"Wednesday, October 15 ",0,,,,
"Thursday, October 16 ",0,,,,
"Friday, October 17 ",0,,,,
"Saturday, October 18 ",6,,,,
"Sunday, October 19 ",3,,,,
"Monday, October 20 ",0,,,,
"Tuesday, October 21 ",5,,,,
"Wednesday, October 22 ",0,,,,
"Thursday, October 23 ",0,,,,
"Friday, October 24 ",0,,,,
"Saturday, October 25 ",0,,,,
"Sunday, October 26 ",0,,,,
"Monday, October 27 ",0,,,,
"Tuesday, October 28 ",0,,,,
"Wednesday, October 29 ",0,,,,
"Thursday, October 30 ",0,,,,
"Friday, October 31 ",3,,,,
"Saturday, November 1 ",0,,,,
"Sunday, November 2 ",0,,,,
"Monday, November 3 ",0,,,,
"Tuesday, November 4 ",0,,,,
"Wednesday, November 5 ",0,,,,
"Thursday, November 6 ",0,,,,
"Friday, November 7 ",3,,,,
"Saturday, November 8 ",2,,,,
"Sunday, November 9 ",2,,,,
"Monday, November 10 ",0,,,,
"Tuesday, November 11 ",0,,,,
"Wednesday, November 12 ",4,,,,
"Thursday, November 13 ",0,,,,
"Friday, November 14 ",0,,,,
"Saturday, November 15 ",0,,,,
"Sunday, November 16 ",0,,,,
"Monday, November 17 ",0,,,,
"Tuesday, November 18 ",0,,,,
"Wednesday, November 19 ",0,,,,
"Thursday, November 20 ",1,,,,
"Friday, November 21 ",1,,,,
"Saturday, November 22 ",4,,,,
"Sunday, November 23 ",8,,,,
"Monday, November 24 ",0,,,,
"Tuesday, November 25 ",0,,,,
"Wednesday, November 26 ",3,,,,
"Thursday, November 27 ",3,,,,
"Friday, November 28 ",1,,,,
"Saturday, November 29 ",2,,,,
"Sunday, November 30 ",0,,,,
"Monday, December 1 ",0,,,,
"Tuesday, December 2 ",0,,,,
"Wednesday, December 3 ",0,,,,
"Thursday, December 4 ",1,,,,
"Friday, December 5 ",3,,,,
"Saturday, December 6 ",2,,,,
"Sunday, December 7 ",2,,,,
"Monday, December 8 ",0,,,,
"Tuesday, December 9 ",0,,,,
"Wednesday, December 10 ",3,,,,
"Thursday, December 11 ",2,,,,
"Friday, December 12 ",3,,,,
"Saturday, December 13 ",0,,,,
"Sunday, December 14 ",7,,,,
"Monday, December 15 ",0,,,,
"Tuesday, December 16 ",2,,,,
"Wednesday, December 17 ",4,,,,
"Thursday, December 18 ",2,,,,
"Friday, December 19 ",3,,,,
"Saturday, December 20 ",5,,,,
"Sunday, December 21 ",7,,,,
"Monday, December 22 ",6,,,,
"Tuesday, December 23 ",8,,,,
"Wednesday, December 24 ",3,,,,
"Thursday, December 25 ",6,,,,
"Friday, December 26 ",6,,,,
"Saturday, December 27 ",0,,,,
"Sunday, December 28 ",1,,,,
"Monday, December 29 ",3,,,,
"Tuesday, December 30 ",2,,,,
"Wednesday, December 31 ",8,,,,